,title,publish_date,source_country,sentiment,cleaned_text,sentiment_label,word_length,char_length,month
21,Irish investment consortium in €6.5m deal for landmark Donnybrook Mall,2023-01-25 09:41:09,ie,0.358,irish investment consortium 6.5m deal landmark donnybrook mall,positive,10,70,January 2023
22,"State may fund thousands of student beds in DCU, UCD and Trinity",2023-03-03 20:48:41,ie,0.031,state may fund thousand student bed dcu ucd trinity,positive,12,64,March 2023
25,Environmental group lodges legal action over emissions cuts ‘picked from the sky’,2023-02-27 23:07:20,ie,-0.364,environmental group lodge legal action emission cut picked sky,negative,12,81,February 2023
26,Ministers Foley and Ryan welcome progress on Schools Decarbonisation Pathfinder Programme  - MerrionStreet,2022-12-28 10:33:23,ie,0.246,minister foley ryan welcome progress school decarbonisation pathfinder programme merrionstreet,positive,13,106,December 2022
27,"Ireland risks missing EU recycling targets, warns EPA",2022-12-07 10:24:53,ie,-0.345,ireland risk missing eu recycling target warns epa,negative,8,53,December 2022
29,Gender pay-gap reports highlight the penalty for women in the workplace,2022-12-24 03:30:00,ie,-0.012,gender pay-gap report highlight penalty woman workplace,negative,11,71,December 2022
30,Machinery Focus: Vertical take-off for Tyrone Trailers,2023-01-14 11:30:00,ie,-0.127,machinery focus vertical take-off tyrone trailer,negative,7,54,January 2023
31,‘All he did was put up those bleeding posters’ - Dublin inner city laments departure of Michael Stone,2023-01-28 07:00:00,ie,0.271,put bleeding poster dublin inner city lament departure michael stone,positive,18,101,January 2023
32,Medicine shortages; construction downturn; and a helping hand for developers,2022-12-12 07:30:17,ie,-0.221,medicine shortage construction downturn helping hand developer,negative,10,76,December 2022
33,Brianna Parkins: Building your own home can save money but is not for the faint-hearted,2023-02-22 06:00:36,ie,0.189,brianna parkins building home save money faint-hearted,positive,15,87,February 2023
34,Dismissal of trade union official found to have been unfair,2023-03-09 16:57:06,ie,-0.506,dismissal trade union official found unfair,negative,10,59,March 2023
36,Dublin Port Opens Public Consultation on 3FM Project,2023-03-23 12:55:56,ie,0.355,dublin port open public consultation 3fm project,positive,8,52,March 2023
37,It’s depressing that two big trends driving Ireland’s housing crisis continue unabated,2022-11-27 13:09:34,ie,-0.366,depressing two big trend driving ireland housing crisis continue unabated,negative,12,86,November 2022
38,Eleven local authorities failed to deliver a single new-build home in first half of 2022,2022-11-28 08:29:31,ie,-0.184,eleven local authority failed deliver single new-build home first half 2022,negative,15,88,November 2022
39,Minister for Housing Darragh O’Brien talks up progress in face of increased homelessness,2023-02-25 18:08:49,ie,-0.134,minister housing darragh brien talk progress face increased homelessness,negative,13,88,February 2023
40,Lebanon to construct new terminal at Beirut airport,2023-03-20 17:04:34,ie,-0.044,lebanon construct new terminal beirut airport,negative,8,51,March 2023
41,Ministers Donohoe and Smyth announces update to guidance to support SME participation in public procurement - MerrionStreet,2023-03-22 16:55:32,ie,0.457,minister donohoe smyth announces update guidance support sme participation public procurement merrionstreet,positive,17,123,March 2023
42,Searches for part-time and weekend work soar amid cost-of-living squeeze,2023-02-07 09:35:46,ie,-0.065,search part-time weekend work soar amid cost-of-living squeeze,negative,10,72,February 2023
43,Stadiums of shame: The numbers Qatar don’t want to be seen,2022-11-20 12:23:00,ie,-0.472,stadium shame number qatar want seen,negative,11,58,November 2022
44,School building projects ‘on hold’ due to funding pressures,2023-03-02 20:54:08,ie,-0.033,school building project hold due funding pressure,negative,9,59,March 2023
46,Caution across Cork commercial property market sectors,2022-12-07 20:43:40,ie,-0.215,caution across cork commercial property market sector,negative,7,54,December 2022
47,US says new weapons will help Ukraine mount ‘decisive’ spring offensive,2023-02-15 19:47:59,ie,0.428,u say new weapon help ukraine mount decisive spring offensive,positive,11,71,February 2023
48,Only a third of accommodation workers in early 2020 were with same employer after Covid,2023-03-10 06:00:00,ie,-0.036,third accommodation worker early 2020 employer covid,negative,15,87,March 2023
50,"Dublin City Council pays 40% over the odds for social housing, audit finds",2023-02-15 20:25:45,ie,-0.236,dublin city council pay 40 odds social housing audit find,negative,13,74,February 2023
51,Hager&#8217;s Install of the Year supports industry excellence,2023-03-09 21:44:39,ie,0.454,hager 8217 install year support industry excellence,positive,8,62,March 2023
54,Economy to grow at reduced rate despite more benign inflationary outlook,2023-03-08 01:15:00,ie,-0.109,economy grow reduced rate despite benign inflationary outlook,negative,11,72,March 2023
55,"Send in the clowns? Don’t bother, they’re here",2022-11-27 10:02:54,ie,-0.139,send clown bother,negative,8,46,November 2022
56,Housing targets under major threat amid slump in homebuilding,2022-12-02 04:00:00,ie,-0.316,housing target major threat amid slump homebuilding,negative,9,61,December 2022
57,Minister Harris announces commencement of construction of six new Higher Education buildings - MerrionStreet,2022-12-21 11:18:44,ie,0.381,minister harris announces commencement construction six new higher education building merrionstreet,positive,14,108,December 2022
58,Ireland’s housing crisis: why doesn’t the State step in and build?,2023-01-29 17:45:35,ie,-0.283,ireland housing crisis state step build,negative,11,66,January 2023
59,Budding engineers of Inishowen invited to week of free fun activities,2023-03-03 20:01:38,ie,0.598,budding engineer inishowen invited week free fun activity,positive,11,69,March 2023
60,"Bafta awards: Bad Sisters, Derry Girls and Cillian Murphy among nominees",2023-03-22 11:07:33,ie,0.493,bafta award bad sister derry girl cillian murphy among nominee,positive,11,72,March 2023
61,Taoiseach urges people to continue &amp;lsquo;warmly&amp;rsquo; welcoming refugees to Ireland,2022-11-21 16:06:14,ie,0.249,taoiseach urge people continue amp lsquo warmly amp rsquo welcoming refugee ireland,positive,10,93,November 2022
62,Nearly 700 forestry road licences issued in Ireland,2023-01-05 09:15:23,ie,-0.102,nearly 700 forestry road licence issued ireland,negative,8,51,January 2023
64,Kirby promotes engineering diversity with new bursaries,2022-11-21 12:03:22,ie,0.301,kirby promotes engineering diversity new bursary,positive,7,55,November 2022
65,Number of recorded workplace fatalities falls by one third in 2022,2022-12-30 08:08:08,ie,-0.301,number recorded workplace fatality fall one third 2022,negative,11,66,December 2022
66,"Social homes on public land essential to address housing crisis, rally in Dublin told",2022-11-26 18:51:44,ie,-0.386,social home public land essential address housing crisis rally dublin told,negative,14,85,November 2022
67,TUS to break ground on multi-million euro STEM facility,2022-12-22 19:02:02,ie,0.356,tus break ground multi-million euro stem facility,positive,9,55,December 2022
68,"Climate action plan’s test is to ‘deliver at pace’, warn Opposition and green groups",2022-12-22 06:00:00,ie,-0.221,climate action plan test deliver pace warn opposition green group,negative,14,84,December 2022
71,New Tailte Éireann agency to provide streamlined access to land and geospatial services to public and Government  - MerrionStreet,2022-12-15 16:26:52,ie,0.478,new tailte ireann agency provide streamlined access land geospatial service public government merrionstreet,positive,19,129,December 2022
72,Collaboration key to accelerating use of Modern Methods of Construction in Housing Delivery - MerrionStreet,2023-02-22 13:04:45,ie,0.302,collaboration key accelerating use modern method construction housing delivery merrionstreet,positive,15,107,February 2023
73,"Focus on research: Dr Marguerite Nyhan, MaREI",2022-12-06 10:17:00,ie,0.341,focus research dr marguerite nyhan marei,positive,7,45,December 2022
74,Revised TAMS costings “hopelessly below” real cost - Kilkenny farmer Denis Drennan,2023-03-11 12:31:00,ie,-0.469,revised tam costing hopelessly real cost kilkenny farmer denis drennan,negative,12,82,March 2023
75,Where have all the second-hand properties gone?,2023-03-02 13:22:51,ie,-0.024,second-hand property gone,negative,7,47,March 2023
76,Pure fantasy to believe our GP numbers can handle free care,2023-01-22 03:30:00,ie,-0.019,pure fantasy believe gp number handle free care,negative,11,59,January 2023
77,Minister McConalogue announces the appointment of a contractor to complete the €30m Deep-Water Quay Development in Ros an Mhíl Fishery Harbour Centre - MerrionStreet,2022-12-28 10:19:09,ie,0.244,minister mcconalogue announces appointment contractor complete 30m deep-water quay development ro mh l fishery harbour centre merrionstreet,positive,24,165,December 2022
78,Eamon Ryan: &#039;Irish people want to play their part&#039; in helping environment,2023-01-22 22:36:07,ie,0.289,eamon ryan 039 irish people want play part 039 helping environment,positive,12,83,January 2023
79,Nominations open for 2023 EY Entrepreneur Of The Year programme,2023-01-26 08:23:34,ie,0.611,nomination open 2023 ey entrepreneur year programme,positive,10,63,January 2023
80,Wicklow and Arklow Harbours awarded more than €1million in funding,2022-12-08 15:12:07,ie,-0.045,wicklow arklow harbour awarded 1million funding,negative,10,66,December 2022
81,Pharma is just the medicine our bruised economy needs right now,2022-12-18 03:30:00,ie,0.14,pharma medicine bruised economy need right,positive,11,63,December 2022
82,"Profile:  Michael Stone, the private man behind the public headlines",2023-01-24 14:25:07,ie,-0.09,profile michael stone private man behind public headline,negative,10,68,January 2023
83,HANNOVER MESSE – World’s leading platform for hydrogen and fuel cells,2023-03-22 11:15:57,ie,0.385,hannover messe world leading platform hydrogen fuel cell,positive,11,69,March 2023
84,"Cost-of-living pressures will persist in 2023 but Ireland should escape a recession, ESRI says",2022-12-15 01:05:41,ie,-0.048,cost-of-living pressure persist 2023 ireland escape recession esri say,negative,14,94,December 2022
86,Housing Minister rules out introducing regulations on people renting out spare rooms,2023-01-12 07:30:25,ie,0.067,housing minister rule introducing regulation people renting spare room,positive,12,84,January 2023
87,"Private sector delivering more than seven in 10 new social homes, department figures show",2023-01-24 06:00:29,ie,-0.252,private sector delivering seven 10 new social home department figure show,negative,14,89,January 2023
88,"Engineers Ireland forecasts almost 8,000 sectoral jobs for 2023",2023-02-01 12:04:25,ie,0.175,engineer ireland forecast almost 8 000 sectoral job 2023,positive,9,63,February 2023
90,LULUCF carbon removal target will be &#8216;extremely challenging&#8217; for Ireland,2022-12-07 11:30:00,ie,-0.06,lulucf carbon removal target 8216 extremely challenging 8217 ireland,negative,10,84,December 2022
91,Tanaiste Leo Varadkar to visit Galway tomorrow,2022-12-09 07:58:34,ie,0.103,tanaiste leo varadkar visit galway tomorrow,positive,7,46,December 2022
92,FactCheck: Did the Government miss its social housing targets for three years in a row?,2023-03-23 01:05:17,ie,-0.365,factcheck government miss social housing target three year row,negative,15,87,March 2023
93,BKT brings a new name to the rubber track market,2022-12-07 14:30:00,ie,0.341,bkt brings new name rubber track market,positive,10,48,December 2022
94,BAM backs HVO fuels as a key part of its decarbonising strategy,2022-12-15 12:49:01,ie,-0.102,bam back hvo fuel key part decarbonising strategy,negative,12,63,December 2022
95,Wider mix now of buyers includes housing bodies and local authorities,2023-03-04 22:00:00,ie,-0.326,wider mix buyer includes housing body local authority,negative,11,69,March 2023
97,32% of hotel beds outside Dublin being used to house refugees,2023-03-29 18:59:00,ie,-0.108,32 hotel bed outside dublin used house refugee,negative,11,61,March 2023
98,Bonuses for bankers could be back on the cards as banking review goes to Cabinet,2022-11-29 07:30:50,ie,0.057,bonus banker could back card banking review go cabinet,positive,15,80,November 2022
99,Landini woos the tillage sector with new Landpower models,2023-03-23 16:30:00,ie,0.049,landini woos tillage sector new landpower model,positive,9,57,March 2023
100,Ireland’s stuttering climate performance brought into focus by IPCC report,2023-03-21 21:17:55,ie,0.036,ireland stuttering climate performance brought focus ipcc report,positive,10,74,March 2023
101,Minister Harris announces more than €40m in supports for 405 new student accommodation beds at DCU - MerrionStreet,2023-03-07 15:23:24,ie,0.008,minister harris announces 40m support 405 new student accommodation bed dcu merrionstreet,positive,18,114,March 2023
102,"Medicines shortage, insolvencies warning and time cull some meetings",2023-01-09 07:35:30,ie,0.032,medicine shortage insolvency warning time cull meeting,positive,9,68,January 2023
103,&amp;lsquo;Ireland is going in the wrong direction&amp;rsquo; – country is producing more rubbish than ever as recycling rates stagnate,2022-12-07 00:55:00,ie,-0.301,amp lsquo ireland going wrong direction amp rsquo country producing rubbish ever recycling rate stagnate,negative,19,135,December 2022
104,Government mulls tax break for developers amid concern over political fallout,2022-12-11 16:14:56,ie,-0.335,government mull tax break developer amid concern political fallout,negative,11,77,December 2022
105,Kinahan snr planned ‘fresh start’ in Zimbabwe,2022-11-12 06:00:42,ie,0.168,kinahan snr planned fresh start zimbabwe,positive,7,45,November 2022
106,Housing affordability at its worst for 14 years as property prices almost eight times the average salary,2023-01-03 03:30:00,ie,-0.21,housing affordability worst 14 year property price almost eight time average salary,negative,17,104,January 2023
107,Large proportion of Cork commercial property left vacant,2023-01-25 11:07:00,ie,-0.302,large proportion cork commercial property left vacant,negative,8,56,January 2023
109,Opinion: In a cold snap our footpaths and cycle lanes should also be gritted by councils,2022-12-13 18:38:22,ie,0.001,opinion cold snap footpath cycle lane also gritted council,positive,16,88,December 2022
110,Two 24-hour work stoppages by Go Ahead employees to take place in March,2023-02-09 20:21:21,ie,-0.399,two 24-hour work stoppage go ahead employee take place march,negative,13,71,February 2023
111,"Irish economy grew by 12% last year, buoyed by multinational sector",2023-03-03 14:43:06,ie,0.081,irish economy grew 12 last year buoyed multinational sector,positive,11,67,March 2023
112,Yara: Europe in peril without strong nitrogen industry,2022-11-11 12:45:00,ie,0.307,yara europe peril without strong nitrogen industry,positive,8,54,November 2022
113,­­DHL report shows how logistics companies help make semiconductor supply chains more resilient,2022-11-21 11:59:51,ie,0.734,dhl report show logistics company help make semiconductor supply chain resilient,positive,13,95,November 2022
114,"Marlet secures €384m in funding for delivery of 1,108 Dublin apartments",2023-03-29 13:14:41,ie,0.212,marlet secures 384m funding delivery 1 108 dublin apartment,positive,11,71,March 2023
115,ATU Donegal students engineer success in national contest,2022-12-03 18:59:36,ie,0.207,atu donegal student engineer success national contest,positive,8,57,December 2022
116,EU dodges deadline for polluting trucks in setback for net-zero goal,2023-02-23 11:21:59,ie,-0.195,eu dodge deadline polluting truck setback net-zero goal,negative,11,68,February 2023
117,Athlone Confirmed for Ireland’s First All-Electric Bus Service,2023-01-20 14:09:32,ie,0.38,athlone confirmed ireland first all-electric bus service,positive,8,62,January 2023
118,It&amp;rsquo;s time to ditch our over-reliance on the tech sector and concentrate on traditional industries,2022-11-12 03:30:00,ie,-0.09,amp rsquo time ditch over-reliance tech sector concentrate traditional industry,negative,15,107,November 2022
119,Local TD critical of lack of proper building control in construction sector,2022-12-13 15:12:29,ie,-0.307,local td critical lack proper building control construction sector,negative,12,75,December 2022
120,No Break: Undocumented workers excluded from fishing sector work permit reforms,2022-12-02 01:30:31,ie,0.137,break undocumented worker excluded fishing sector work permit reform,positive,11,79,December 2022
121,Pat Leahy: The Coalition has blundered into a crisis it might not be able to control,2023-03-25 21:22:35,ie,-0.477,pat leahy coalition blundered crisis might able control,negative,16,84,March 2023
122,Former nursing home for sale in Kilkenny offers great potential - see more!,2023-03-03 12:16:27,ie,0.416,former nursing home sale kilkenny offer great potential see,positive,13,75,March 2023
123,Home sales volumes down as prices jump 9.7%,2023-01-28 06:00:00,ie,-0.348,home sale volume price jump 9.7,negative,8,43,January 2023
124,Booming growth figures mask signs of domestic slow down last year,2023-03-03 13:04:33,ie,0.059,booming growth figure mask sign domestic slow last year,positive,11,65,March 2023
127,Councils seek €40 million to help beef up staffing in planning departments nationwide,2023-01-31 07:15:56,ie,-0.24,council seek 40 million help beef staffing planning department nationwide,negative,13,85,January 2023
128,Limerick above the national average for empty homes,2023-02-02 13:00:00,ie,-0.267,limerick national average empty home,negative,8,51,February 2023
130,Tech giants ditch office space in London and Europe,2022-12-22 11:25:03,ie,0.055,tech giant ditch office space london europe,positive,9,51,December 2022
132,Increase in online shopping prompts spike in demand for warehouse space in Limerick,2023-01-08 19:00:00,ie,-0.118,increase online shopping prompt spike demand warehouse space limerick,negative,13,83,January 2023
133,Appeal  over plans for student complex in Limerick,2023-02-22 14:00:01,ie,0.044,appeal plan student complex limerick,positive,8,50,February 2023
134,"Michael O&#039;Flynn: Inflation is the root of our housing problem, not property developers ",2022-11-11 08:44:01,ie,-0.542,michael 039 flynn inflation root housing problem property developer,negative,13,92,November 2022
135,High-end Blackrock apartment scheme guiding at €59m,2023-02-15 06:50:00,ie,0.213,high-end blackrock apartment scheme guiding 59m,positive,7,51,February 2023
136,Health &#038; Safety Authority confirms 26 work-related fatalities in 2022,2023-01-05 10:57:27,ie,0.111,health 038 safety authority confirms 26 work-related fatality 2022,positive,10,74,January 2023
137,"Ending eviction ban could ‘very possibly’ increase homelessness, says Minister for Housing",2023-03-07 16:11:16,ie,-0.454,ending eviction ban could possibly increase homelessness say minister housing,negative,12,90,March 2023
139,"Homes swept away, livelihoods disrupted. A coastal community in Senegal battles the climate change tide",2022-11-25 18:48:30,ie,0.004,home swept away livelihood disrupted coastal community senegal battle climate change tide,positive,15,103,November 2022
140,Pat Leahy: Ending the eviction ban could be this Government’s worst mistake,2023-03-12 10:22:30,ie,-0.273,pat leahy ending eviction ban could government worst mistake,negative,12,75,March 2023
141,Data reveals number of residential buildings under construction in Kilkenny,2023-01-31 13:07:13,ie,-0.442,data reveals number residential building construction kilkenny,negative,10,75,January 2023
142,Housing now biggest threat to Ireland’s economic wellbeing,2023-02-03 06:00:00,ie,-0.22,housing biggest threat ireland economic wellbeing,negative,8,58,February 2023
144,Housing demand in Kilkenny down 25% in city over past three years,2023-03-21 12:00:11,ie,0.162,housing demand kilkenny 25 city past three year,positive,12,65,March 2023
147,Egypt unveils newly discovered chamber inside one of the Great Pyramid,2023-03-02 18:10:44,ie,0.005,egypt unveils newly discovered chamber inside one great pyramid,positive,11,70,March 2023
149,New facilities to support the growth of Celtic Sea FLOW take another step forward,2022-11-29 21:48:14,ie,0.448,new facility support growth celtic sea flow take another step forward,positive,14,81,November 2022
150,Government counter-motion on eviction ban aimed at securing Independent backing,2023-03-21 19:37:25,ie,-0.057,government counter-motion eviction ban aimed securing independent backing,negative,10,79,March 2023
151,"With stakes high, Brazil meat industry dominates Lula delegation to China",2023-03-23 10:56:35,ie,-0.029,stake high brazil meat industry dominates lula delegation china,negative,11,73,March 2023
152,Gender pay gaps at Ireland’s Big Four accountancy firms look okay - until you include partners,2023-03-10 06:00:00,ie,-0.177,gender pay gap ireland big four accountancy firm look okay include partner,negative,16,94,March 2023
153,Business lender Capitalflow reveals plans to double lending to support customers,2023-03-09 10:46:33,ie,0.35,business lender capitalflow reveals plan double lending support customer,positive,11,80,March 2023
154,Fact Check: Do emissions from making electric cars mean they are not ‘green’?,2022-11-24 15:27:47,ie,-0.533,fact check emission making electric car mean green,negative,13,77,November 2022
155,"Land Development Agency should have power to acquire public and private land, ESRI says",2022-12-09 07:05:34,ie,-0.189,land development agency power acquire public private land esri say,negative,14,87,December 2022
156,Big tech is all for capitalism until the going gets tough,2023-03-16 07:00:00,ie,-0.064,big tech capitalism going get tough,negative,11,57,March 2023
157,"The experts&amp;rsquo; view – what will happen to house prices, mortgage rates, health insurance and more in 2023",2022-12-27 03:30:00,ie,0.226,expert amp rsquo view happen house price mortgage rate health insurance 2023,positive,18,113,December 2022
158,"Digicel seeks debt repayment delay,  EY awards and Musk’s feet of clay",2022-12-01 08:18:32,ie,-0.058,digicel seek debt repayment delay ey award musk foot clay,negative,12,70,December 2022
162,FTSE 100 backtracks from record high as housebuilders slip,2023-02-06 19:20:46,ie,-0.09,ftse 100 backtracks record high housebuilder slip,negative,9,58,February 2023
163,Developer Johnny Ronan in €140m deal for Citi’s Dublin HQ,2023-01-12 20:48:05,ie,-0.248,developer johnny ronan 140m deal citi dublin hq,negative,10,57,January 2023
165,Hibernia Reit and Salesforce HQ sales drive spend on commercial property towards €6bn,2022-12-06 06:35:00,ie,-0.336,hibernia reit salesforce hq sale drive spend commercial property towards 6bn,negative,13,85,December 2022
166,Sharp drop in housing completions expected while State targets need ‘urgent review’,2022-12-23 15:13:08,ie,-0.621,sharp drop housing completion expected state target need urgent review,negative,12,83,December 2022
167,Eamon O’ Cuiv slams Government “petty-mindedness” over Traveller accommodation,2022-12-09 15:12:35,ie,0.207,eamon cuiv slam government petty-mindedness traveller accommodation,positive,9,78,December 2022
169,"New rules on collective bargaining could transform union landscape, says Ictu general secretary Owen Reidy",2023-01-24 05:15:00,ie,0.331,new rule collective bargaining could transform union landscape say ictu general secretary owen reidy,positive,15,106,January 2023
170,Citigroup signs deal for new European HQ in Dublin docklands,2023-01-06 17:37:19,ie,-0.346,citigroup sign deal new european hq dublin docklands,negative,10,60,January 2023
171,Investors retrench but billions in ‘dry powder’ await return to normal trading,2022-12-07 06:42:00,ie,-0.108,investor retrench billion dry powder await return normal trading,negative,12,78,December 2022
172,Minister Harris gives go-ahead for next phase of proposed capital investment for TU Dublin - MerrionStreet,2023-01-11 14:47:28,ie,0.215,minister harris give go-ahead next phase proposed capital investment tu dublin merrionstreet,positive,16,106,January 2023
174,Dr Rory Hearne: 2023 –Time for Ireland to take a new direction in housing,2022-12-26 21:00:11,ie,-0.122,dr rory hearne 2023 time ireland take new direction housing,negative,14,73,December 2022
175,"NCT test delays to be eased with extra resources, Ryan informed",2023-02-07 21:03:35,ie,-0.14,nct test delay eased extra resource ryan informed,negative,11,63,February 2023
176,"Over a fifth of all tourist beds are now contracted to the State for refugees and others, report says",2022-12-02 03:31:00,ie,0.158,fifth tourist bed contracted state refugee others report say,positive,19,101,December 2022
178,"Fears for Irish jobs as Amazon confirms it will cut another 9,000 jobs",2023-03-20 21:20:33,ie,-0.082,fear irish job amazon confirms cut another 9 000 job,negative,13,70,March 2023
179,Contracts signed for design and construction of €80 million development in Limerick,2023-02-13 15:07:46,ie,0.177,contract signed design construction 80 million development limerick,positive,12,83,February 2023
180,"UK house prices fall fastest in 14 years, Halifax says",2022-12-07 10:22:39,ie,-0.156,uk house price fall fastest 14 year halifax say,negative,10,54,December 2022
182,"No plastic bottles, cups or cutlery: UCC eliminates single-use materials from campus",2023-02-07 20:07:52,ie,0.231,plastic bottle cup cutlery ucc eliminates single-use material campus,positive,12,84,February 2023
183,ESRI urges State to issue more visas to non-EU construction workers,2022-12-09 07:31:56,ie,-0.215,esri urge state issue visa non-eu construction worker,negative,11,67,December 2022
186,Rohan Holdings secure two new tenants at latest Dublin logistics scheme,2023-02-22 06:35:00,ie,-0.051,rohan holding secure two new tenant latest dublin logistics scheme,negative,11,71,February 2023
188,GDP growth falls short of estimates as demand declines for second consecutive quarter,2023-03-03 16:13:29,ie,-0.093,gdp growth fall short estimate demand decline second consecutive quarter,negative,13,85,March 2023
189,PwC hit with £5.6m fine for &amp;lsquo;serious failures&amp;rsquo; over Babcock audit,2023-03-08 13:04:51,ie,-0.204,pwc hit 5.6m fine amp lsquo serious failure amp rsquo babcock audit,negative,11,85,March 2023
190,Egypt unveils newly discovered chamber inside Great Pyramid,2023-03-02 17:28:30,ie,0.119,egypt unveils newly discovered chamber inside great pyramid,positive,8,59,March 2023
191,Amazing snapshot of life in Ireland in 2022 released by CSO,2023-01-03 15:42:17,ie,0.13,amazing snapshot life ireland 2022 released cso,positive,11,59,January 2023
192,Plan to boost spending on sports grounds by 300% rejected as lacking ‘realism’,2022-12-30 06:00:30,ie,-0.129,plan boost spending sport ground 300 rejected lacking realism,negative,13,78,December 2022
193,Construction of multi-million euro AgTech Innovation Centre begins at UCD,2022-12-05 12:02:37,ie,0.2,construction multi-million euro agtech innovation centre begin ucd,positive,10,73,December 2022
194,'Substantial concern' over gap in emissions reductions as new Climate Action Plan released,2022-12-21 18:54:29,ie,-0.104,substantial concern gap emission reduction new climate action plan released,negative,13,90,December 2022
195,Report finds Ireland’s productivity 40% higher than Northern Ireland’s over the past 20 years,2022-11-28 08:31:03,ie,-0.14,report find ireland productivity 40 higher northern ireland past 20 year,negative,14,93,November 2022
196,The political Unionist cake is not growing. Only who wins the bigger slice alters. – Slugger O'Toole,2023-01-27 11:44:05,ie,0.054,political unionist cake growing win bigger slice alters slugger toole,positive,17,100,January 2023
197,&amp;lsquo;Impatient&amp;rsquo; new HSE boss says system is too slow and risk-averse,2023-03-22 17:50:36,ie,0.065,amp lsquo impatient amp rsquo new hse bos say system slow risk-averse,positive,11,84,March 2023
200,SMEs employed almost 69% of the workforce in Ireland in 2020,2022-11-02 18:55:53,ie,-0.113,smes employed almost 69 workforce ireland 2020,negative,11,60,November 2022
201,"'Jury is out' on whether State will increase house building this year, says Tánaiste",2023-03-15 07:30:38,ie,0.0,jury whether state increase house building year say naiste,neutral,14,84,March 2023
202,"EY Ireland settlement, Aer Lingus bags still missing and homes snarled in planning system",2023-01-26 06:58:37,ie,-0.289,ey ireland settlement aer lingus bag still missing home snarled planning system,negative,14,89,January 2023
203,Job opportunities in Kilkenny to grow by 15% in 2023 - FRS Recruitment,2023-02-07 08:00:00,ie,0.162,job opportunity kilkenny grow 15 2023 fr recruitment,positive,13,70,February 2023
204,Housing starts rise in January despite increase in construction costs,2023-02-23 18:19:55,ie,-0.213,housing start rise january despite increase construction cost,negative,10,69,February 2023
205,FCI: TAMS 3 is &#8216;declaration of war&#8217; on agricultural contractors,2023-02-21 13:08:57,ie,-0.327,fci tam 3 8216 declaration war 8217 agricultural contractor,negative,10,75,February 2023
206,"Housing minister: 'I'll be frank, we've got to revisit the tax treatment for small landlords'",2022-12-21 01:05:49,ie,-0.201,housing minister frank got revisit tax treatment small landlord,negative,15,93,December 2022
