,title,publish_date,source_country,sentiment,cleaned_text,sentiment_label,word_length,char_length,month
100,"UK steel industry in crisis after lack of support in budget, union warns PM",2023-03-19 16:31:03,gb,0.05,uk steel industry crisis lack support budget union warns pm,positive,14,75,March 2023
101,Union leaders to meet rail minister in bid to secure deal to end strikes,2023-01-09 01:01:00,GB,-0.084,union leaders meet rail minister bid secure deal end strikes,negative,14,72,January 2023
102,Portadown firm plans will catapult the company into a new era of development and innovation,2022-11-21 11:42:10,GB,0.198,portadown firm plans catapult company new era development innovation,positive,15,91,November 2022
103,Failure to draw up national computer chip strategy is ‘act of self-harm’,2023-02-03 07:00:00,GB,0.017,failure draw national computer chip strategy act self-harm,positive,12,72,February 2023
104,‘Vast majority’ of schools in England and Wales affected by teachers’ strike,2023-02-01 17:35:56,GB,-0.226,vast majority schools england wales affected teachers strike,negative,12,76,February 2023
105,Year 9 maths exam: Can YOU pass this maths exam for a 14-year-old?,2023-01-29 10:45:08,GB,0.096,year 9 maths exam pass maths exam 14-year-old,positive,13,66,January 2023
106,Is now the right time for your business to buy real estate?,2022-12-01 16:07:40,GB,-0.19,right time business buy real estate,negative,12,59,December 2022
107,"Liz Cameron: Yes (first) minister, it is time for a &#8216;reset&#8217;",2023-03-01 07:00:20,GB,0.082,liz cameron yes first minister time 8216 reset 8217,positive,11,71,March 2023
108,Ugly duckling to swan: B-listed Inverness building restored to glory,2022-11-12 07:00:45,GB,0.3,ugly duckling swan b-listed inverness building restored glory,positive,10,68,November 2022
109,"Almac also aims to reduce the group’s Scope one and Scope two emissions by 50%, by 2030",2022-11-07 14:24:13,GB,0.105,almac also aims reduce group scope one scope two emissions 50 2030,positive,17,87,November 2022
110,NI construction firms take part in CITB NI Forum,2022-11-15 13:22:14,GB,0.878,ni construction firms take part citb ni forum,positive,9,48,November 2022
111,"What Trump promised, Biden seeks to deliver in his own way",2022-12-17 06:31:58,GB,0.317,trump promised biden seeks deliver way,positive,11,58,December 2022
112,Offshore wind farm construction is noisy – but gadgets used to protect marine mammals are working,2023-01-19 07:11:41,GB,0.272,offshore wind farm construction noisy gadgets used protect marine mammals working,positive,16,97,January 2023
113,New programme highlights the legacy &#8211; or lack of one &#8211; from oil and gas industry in Aberdeen,2023-03-18 07:00:47,gb,0.108,new programme highlights legacy 8211 lack one 8211 oil gas industry aberdeen,positive,18,104,March 2023
114,"Skills Support for the Workforce Programme helps 6,000 employees",2023-03-24 10:26:00,gb,0.332,skills support workforce programme helps 6 000 employees,positive,9,64,March 2023
115,ATS expands with hiring of Operations Manager Matthew Smith,2022-11-09 14:11:19,GB,-0.032,ats expands hiring operations manager matthew smith,negative,9,59,November 2022
116,"Cost-of-living crisis to push more retailers to brink in 2023, warn experts",2022-12-27 10:18:06,GB,0.008,cost-of-living crisis push retailers brink 2023 warn experts,positive,12,75,December 2022
117,‘On the brink’: ambulance services in England face £14m rise in fuel bills,2023-01-01 09:00:42,GB,-0.114,brink ambulance services england face 14m rise fuel bills,negative,13,74,January 2023
118,"A global recession may be looming, but there is a way out of this rut",2023-01-04 15:35:12,GB,-0.138,global recession may looming way rut,negative,15,69,January 2023
119,More strikes expected despite crisis talks between unions and ministers,2023-01-09 18:41:04,GB,-0.107,strikes expected despite crisis talks unions ministers,negative,10,71,January 2023
120,Cash strapped Lebanon splashes out on new airport terminal,2023-03-23 15:29:23,gb,-0.408,cash strapped lebanon splashes new airport terminal,negative,9,58,March 2023
121,Brazil's 4Q22 GDP contraction signals challenge for Lula,2023-03-02 17:37:29,gb,-0.114,brazil 4q22 gdp contraction signals challenge lula,negative,8,56,March 2023
122,'Significant progress' in its Greencastle National Training College development project.,2022-11-22 18:33:37,GB,-0.045,significant progress greencastle national training college development project,negative,10,88,November 2022
123,"Changes at companies including JUMP, Advantex, NEAA and RHA",2023-01-10 16:30:04,GB,0.352,changes companies including jump advantex neaa rha,positive,9,59,January 2023
124,Fusion power: how close are we? | FT Film,2023-01-16 09:01:06,GB,0.407,fusion power close ft film,positive,9,41,January 2023
125,Councillors welcome £74k investment for Macduff Harbour,2023-03-06 12:04:00,gb,0.433,councillors welcome 74k investment macduff harbour,positive,7,55,March 2023
126,"Top paying jobs you can get without a university degree - and one pays £90,000",2023-03-20 16:45:18,gb,0.291,top paying jobs get without university degree one pays 90 000,positive,15,78,March 2023
127,No one wants passengers and taxpayers to know how generous rail pensions really are,2023-01-06 10:35:40,GB,-0.267,one wants passengers taxpayers know generous rail pensions really,negative,14,83,January 2023
128,Ross County chairman sells energy firm to US private equity player,2023-02-15 07:00:47,GB,0.258,ross county chairman sells energy firm us private equity player,positive,11,66,February 2023
129,MPs warn of risk posed by Chinese North Sea investments,2023-01-06 19:14:39,GB,-0.015,mps warn risk posed chinese north sea investments,negative,10,55,January 2023
130,‘Huge concern’ as NHS faces biggest walkout of nurses and ambulance staff in its history,2023-01-18 21:43:35,GB,0.024,huge concern nhs faces biggest walkout nurses ambulance staff history,positive,15,88,January 2023
131,Circular economy roadmap essential for food and drink producers - Cat Hay,2022-11-08 08:19:00,GB,0.172,circular economy roadmap essential food drink producers cat hay,positive,12,73,November 2022
132,UK construction rebounds to nine-month high as recession fears ease,2023-03-06 11:30:29,gb,-0.157,uk construction rebounds nine-month high recession fears ease,negative,10,67,March 2023
133,Stagecoach responds after latest bus fire in &#8216;alarming&#8217; series of Tayside and Fife incidents,2022-12-02 06:30:47,GB,-0.233,stagecoach responds latest bus fire 8216 alarming 8217 series tayside fife incidents,negative,14,104,December 2022
134,Jobs fair hopes to plug Ireland's construction skills shortage - The Irish World,2022-11-08 15:36:42,GB,0.225,jobs fair hopes plug ireland construction skills shortage irish world,positive,13,80,November 2022
135,Scottish economy expected to return to growth in 2024,2023-03-29 13:15:37,gb,0.358,scottish economy expected return growth 2024,positive,9,53,March 2023
136,Hardies appoints new north division managing partner,2022-12-22 07:32:02,GB,0.302,hardies appoints new north division managing partner,positive,7,52,December 2022
137,Opening of new Inverness primary school delayed ­— again,2022-11-17 15:06:00,GB,-0.121,opening new inverness primary school delayed,negative,9,56,November 2022
138,Hundreds of hospital appointments postponed as nurses take part in strike,2022-12-15 20:56:04,GB,-0.239,hundreds hospital appointments postponed nurses take part strike,negative,11,73,December 2022
139,Daniel Greenberg: Who is Westminster sleaze buster? - The Jewish Chronicle,2023-03-16 14:09:35,gb,-0.353,daniel greenberg westminster sleaze buster jewish chronicle,negative,11,74,March 2023
140,France's Emmanuel Macron joins the Bidens for a White House state dinner,2022-12-01 20:18:16,GB,0.276,france emmanuel macron joins bidens white house state dinner,positive,12,72,December 2022
141,Kate Forbes vows to scrap SNP government&#8217;s proposals for fishing bans,2023-03-23 01:01:00,gb,-0.029,kate forbes vows scrap snp government 8217 proposals fishing bans,negative,11,75,March 2023
142,Bao Fan: One of China&#x27;s most high-profile billionaire bankers reported missing,2023-02-17 16:56:00,GB,-0.441,bao fan one china x27 high-profile billionaire bankers reported missing,negative,11,83,February 2023
143,£2 million modular village at Inverness Campus plots expected to be ready by summer,2023-02-02 18:13:00,GB,0.432,2 million modular village inverness campus plots expected ready summer,positive,14,83,February 2023
144,New Israeli government vows to develop West Bank tourism,2023-01-01 15:43:03,GB,0.15,new israeli government vows develop west bank tourism,positive,9,56,January 2023
145,GeoPura gets £36m investment from group led by GM Ventures,2023-02-21 10:50:00,GB,0.134,geopura gets 36m investment group led gm ventures,positive,10,58,February 2023
146,MARKET REPORT: Lack of festive cheer on High St as retail suffers,2022-12-21 03:01:00,GB,-0.159,market report lack festive cheer high st retail suffers,negative,12,65,December 2022
147,Sturgeon calls for ‘compromise on both sides’ to end teachers’ pay dispute,2023-01-16 14:39:05,GB,-0.225,sturgeon calls compromise sides end teachers pay dispute,negative,12,74,January 2023
148,Scottish trade mission sinks its teeth into deals in Barbados,2022-12-14 16:36:07,GB,0.22,scottish trade mission sinks teeth deals barbados,positive,10,61,December 2022
149,What it feels like to be shot in the chest by a bullet from AK-47: Lance Sergeant BOB GILES,2023-03-11 00:06:31,gb,-0.484,feels like shot chest bullet ak-47 lance sergeant bob giles,negative,19,91,March 2023
150,The Cuban Collapse – a photo essay,2023-03-13 08:00:11,gb,-0.26,cuban collapse photo essay,negative,7,34,March 2023
151,Aberdeen firm lands work on Scotland's largest offshore wind farm that can power 1.6 million homes,2022-11-29 05:55:00,GB,0.004,aberdeen firm lands work scotland largest offshore wind farm power 1.6 million homes,positive,16,98,November 2022
152,Anti-strike legislation passes first test but wave of industrial action rolls on,2023-01-17 01:23:05,GB,-0.193,anti-strike legislation passes first test wave industrial action rolls,negative,12,80,January 2023
153,A spring of discontent: Unions warn of months more of strikes as talks falter,2022-12-18 10:08:58,GB,0.122,spring discontent unions warn months strikes talks falter,positive,14,77,December 2022
154,'Slow day:' Guard emails don't match Noem border 'war' talk,2022-11-04 18:55:56,GB,-0.016,slow day guard emails match noem border war talk,negative,10,59,November 2022
155,Spring budget: The seven key points we can expect,2023-03-14 23:40:16,gb,-0.459,spring budget seven key points expect,negative,9,49,March 2023
156,Dundee property firm looking to make &#8216;giant strides&#8217; in Tayside,2023-01-04 06:55:48,GB,0.267,dundee property firm looking make 8216 giant strides 8217 tayside,positive,10,75,January 2023
157,"On World Water Day, spare a thought for the Middle East",2023-03-22 11:00:52,gb,-0.009,world water day spare thought middle east,negative,11,55,March 2023
158,Trusted manager admits stealing thousands from Sibbald Training,2023-03-27 17:52:57,gb,-0.089,trusted manager admits stealing thousands sibbald training,negative,8,63,March 2023
159,Elgin dealership joins Cat machinery network,2023-01-31 13:30:00,GB,0.518,elgin dealership joins cat machinery network,positive,6,44,January 2023
160,"UK steel industry on brink of 'irreversible decline', MPs warn Rishi Sunak",2023-02-03 17:00:00,GB,0.094,uk steel industry brink irreversible decline mps warn rishi sunak,positive,12,74,February 2023
161,Humza Yousaf elected SNP leader and prospective First Minister,2023-03-28 20:25:39,gb,0.296,humza yousaf elected snp leader prospective first minister,positive,9,62,March 2023
162,Thousands of nurses go on strike across England,2023-01-18 01:01:09,GB,-0.334,thousands nurses go strike across england,negative,8,47,January 2023
163,Mayors demand minister steps in to fix ‘mess’ blighting northern railways,2022-11-30 21:39:37,GB,-0.492,mayors demand minister steps fix mess blighting northern railways,negative,11,73,November 2022
164,Legal eagle Lisa Law joins Ledingham Chalmers Inverness team as partner,2023-02-07 07:00:39,GB,0.356,legal eagle lisa law joins ledingham chalmers inverness team partner,positive,11,71,February 2023
165,Taskforce says action is needed on co-design for a successful Scottish agricultural policy,2023-02-13 18:32:00,GB,0.134,taskforce says action needed co-design successful scottish agricultural policy,positive,13,90,February 2023
166,Senior officer considered &#8211; and discounted &#8211; terrorism link to Sheku Bayoh death,2023-03-10 06:00:27,gb,-0.008,senior officer considered 8211 discounted 8211 terrorism link sheku bayoh death,negative,13,92,March 2023
167,Why Help to Buy was a disaster for first-time buyers,2023-01-31 19:47:21,GB,-0.042,help buy disaster first-time buyers,negative,10,52,January 2023
168,"This is an era of plentiful, cheap, renewable energy, but the fossil fuel dinosaurs can’t admit it",2023-01-20 07:00:30,GB,-0.096,era plentiful cheap renewable energy fossil fuel dinosaurs admit,negative,17,98,January 2023
